,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
MARKEL CORPORATION,Insurance,Fixed Income,"815,137.16",0.03,"815,137.16","638,000.00",570535AT1,US570535AT11,BK5JGR0,127.19,United States,-,USD,16.06,3.46,1.0,"May 20, 2049",5.0,16.26,-,3.44,16.1,3.44,USD,"May 20, 2019","May 20, 2019"
MARS INCORPORATED 144A,Consumer Non-Cyclical,Fixed Income,"814,433.75",0.03,"814,433.75","632,000.00",571676AH8,US571676AH87,BHND5F4,127.82,United States,-,USD,20.47,2.96,1.0,"Apr 01, 2059",4.2,20.74,-,2.95,20.6,2.95,USD,"Mar 29, 2019","Mar 29, 2019"
LOEWS CORPORATION,Insurance,Fixed Income,"811,375.45",0.03,"811,375.45","599,000.00",540424AP3,US540424AP38,B0686W1,132.96,United States,-,USD,9.51,2.95,1.0,"Feb 01, 2035",6.0,9.5,-,2.95,9.5,2.95,USD,"Jan 27, 2005","Jan 27, 2005"
WESTPAC BANKING CORP,Banking,Fixed Income,"810,721.39",0.03,"810,721.39","815,000.00",961214EY5,US961214EY50,BLD9486,99.11,Australia,-,USD,14.61,3.19,1.0,"Nov 18, 2041",3.13,14.63,-,3.19,14.63,3.19,USD,"Nov 18, 2021","Nov 18, 2021"
BOSTON SCIENTIFIC CORP,Consumer Non-Cyclical,Fixed Income,"810,393.03",0.03,"810,393.03","510,000.00",101137AL1,US101137AL15,B52PWD4,155.5,United States,-,USD,11.38,3.28,1.0,"Jan 15, 2040",7.38,11.41,-,3.28,11.41,3.28,USD,"Dec 14, 2009","Dec 14, 2009"
PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"810,188.04",0.03,"810,188.04","724,000.00",718172AW9,US718172AW92,B83KB65,110.56,United States,-,USD,14.24,3.42,1.0,"Mar 04, 2043",4.13,14.28,-,3.42,14.28,3.42,USD,"Mar 04, 2013","Mar 04, 2013"
SINOPEC GROUP OVERSEAS DEVELOPMENT 144A,Owned No Guarantee,Fixed Income,"809,712.00",0.03,"809,712.00","720,000.00",82938NAJ3,US82938NAJ37,-,111.26,China,-,USD,16.29,3.34,1.0,"Sep 13, 2047",4.0,16.37,-,3.34,16.37,3.34,USD,"Sep 13, 2017","Sep 13, 2017"
AMGEN INC,Consumer Non-Cyclical,Fixed Income,"809,561.90",0.03,"809,561.90","858,000.00",031162CY4,US031162CY49,-,93.43,United States,-,USD,20.17,3.1,1.0,"Sep 01, 2053",2.77,20.36,-,3.1,20.36,3.1,USD,"Mar 01, 2021","May 13, 2021"
COCA-COLA CO,Consumer Non-Cyclical,Fixed Income,"809,097.98",0.03,"809,097.98","774,000.00",191216DQ0,US191216DQ04,-,104.09,United States,-,USD,14.77,2.6,1.0,"May 05, 2041",2.88,14.82,-,2.6,14.82,2.6,USD,"May 05, 2021","May 05, 2021"
BRIGHTHOUSE FINANCIAL INC,Insurance,Fixed Income,"808,590.21",0.03,"808,590.21","736,000.00",10922NAF0,US10922NAF06,BD6TZ17,109.75,United States,-,USD,15.15,4.08,1.0,"Jun 22, 2047",4.7,15.28,-,4.07,15.11,4.07,USD,"Dec 22, 2017","Apr 25, 2018"
EQUINOR ASA,Owned No Guarantee,Fixed Income,"808,125.93",0.03,"808,125.93","670,000.00",85771PAE2,US85771PAE25,B710SM5,120.17,Norway,-,USD,13.93,2.91,1.0,"Nov 23, 2041",4.25,13.98,-,2.91,13.98,2.91,USD,"Nov 23, 2011","Nov 23, 2011"
NIKE INC,Consumer Cyclical,Fixed Income,"807,989.40",0.03,"807,989.40","737,000.00",654106AL7,US654106AL77,-,108.78,United States,-,USD,13.64,2.64,1.0,"Mar 27, 2040",3.25,13.82,-,2.63,13.54,2.63,USD,"Mar 27, 2020","Mar 27, 2020"
EXELON CORPORATION,Electric,Fixed Income,"807,236.66",0.03,"807,236.66","638,000.00",30161NAY7,US30161NAY76,BLTZKK2,125.53,United States,-,USD,16.67,3.3,1.0,"Apr 15, 2050",4.7,16.89,-,3.29,16.72,3.29,USD,"Apr 01, 2020","Apr 01, 2020"
AT&T INC,Communications,Fixed Income,"806,336.06",0.03,"806,336.06","713,000.00",00206RBH4,US00206RBH49,BBP3ML5,112.9,United States,-,USD,14.05,3.43,1.0,"Dec 15, 2042",4.3,14.2,-,3.42,13.98,3.42,USD,"Jun 15, 2013","Jun 18, 2013"
ENTERPRISE PRODUCTS OPERATING LLC,Energy,Fixed Income,"806,304.00",0.03,"806,304.00","665,000.00",29379VAW3,US29379VAW37,B5LM203,119.42,United States,-,USD,13.34,3.52,1.0,"Aug 15, 2042",4.85,13.49,-,3.5,13.29,3.5,USD,"Feb 15, 2012","Feb 15, 2012"
GRUPO BIMBO SAB DE CV 144A,Consumer Non-Cyclical,Fixed Income,"805,796.22",0.03,"805,796.22","745,000.00",40052VAG9,US40052VAG95,BGMGCQ7,106.89,Mexico,-,USD,16.69,3.6,1.0,"Sep 06, 2049",4.0,16.85,-,3.6,16.68,3.6,USD,"Sep 06, 2019","Sep 06, 2019"
CATERPILLAR INC,Capital Goods,Fixed Income,"804,588.03",0.03,"804,588.03","728,000.00",149123CF6,US149123CF65,BKY86V2,109.6,United States,-,USD,18.3,2.75,1.0,"Sep 19, 2049",3.25,18.53,-,2.75,18.31,2.75,USD,"Sep 19, 2019","Sep 19, 2019"
DEUTSCHE TELEKOM AG,Communications,Fixed Income,"804,456.17",0.03,"804,456.17","502,000.00",25156PAD5,US25156PAD50,B7K44X1,159.48,Germany,-,USD,7.57,2.67,1.0,"Jun 01, 2032",9.25,7.55,-,2.67,7.55,2.67,USD,"May 29, 2002","May 29, 2002"
MARS INCORPORATED 144A,Consumer Non-Cyclical,Fixed Income,"804,204.11",0.03,"804,204.11","715,000.00",571676AC9,US571676AC90,BHND6F1,111.58,United States,-,USD,9.88,2.5,1.0,"Apr 01, 2034",3.6,9.95,-,2.48,9.78,2.48,USD,"Mar 29, 2019","Mar 29, 2019"
HALLIBURTON CO,Energy,Fixed Income,"803,976.62",0.03,"803,976.62","688,000.00",406216BE0,US406216BE02,BCR5XW4,114.88,United States,-,USD,13.67,3.74,1.0,"Aug 01, 2043",4.75,13.8,-,3.72,13.6,3.72,USD,"Aug 05, 2013","Aug 05, 2013"
ALTRIA GROUP INC,Consumer Non-Cyclical,Fixed Income,"803,769.02",0.03,"803,769.02","827,000.00",02209SBP7,US02209SBP74,BKPSYC8,95.56,United States,-,USD,18.76,4.23,1.0,"Feb 04, 2061",4.0,18.92,-,4.23,18.92,4.23,USD,"Feb 04, 2021","Feb 04, 2021"
FEDEX CORP,Transportation,Fixed Income,"802,465.25",0.03,"802,465.25","706,000.00",31428XBB1,US31428XBB10,BV8NTK0,111.96,United States,-,USD,15.08,3.35,1.0,"Feb 01, 2045",4.1,15.13,-,3.35,15.13,3.35,USD,"Jan 09, 2015","Jan 09, 2015"
GENERAL MOTORS CO,Consumer Cyclical,Fixed Income,"801,925.32",0.03,"801,925.32","622,000.00",37045VAQ3,US37045VAQ32,BD93Q91,127.58,United States,-,USD,15.09,3.74,1.0,"Apr 01, 2048",5.4,15.27,-,3.72,15.11,3.72,USD,"Aug 07, 2017","Aug 07, 2017"
TEACHERS INSUR & ANNUITY 144A,Insurance,Fixed Income,"801,176.98",0.03,"801,176.98","536,000.00",878091BC0,US878091BC04,B50WZ61,149.19,United States,-,USD,11.75,3.22,1.0,"Dec 16, 2039",6.85,11.78,-,3.22,11.78,3.22,USD,"Dec 16, 2009","Dec 16, 2009"
EBAY INC,Consumer Cyclical,Fixed Income,"799,807.97",0.03,"799,807.97","732,000.00",278642AZ6,US278642AZ62,-,108.75,United States,-,USD,18.16,3.19,1.0,"May 10, 2051",3.65,18.36,-,3.18,18.18,3.18,USD,"May 10, 2021","May 10, 2021"
PHILLIPS 66,Energy,Fixed Income,"799,611.90",0.03,"799,611.90","679,000.00",718546AK0,US718546AK04,BSN56M1,117.17,United States,-,USD,9.75,3.03,1.0,"Nov 15, 2034",4.65,9.9,-,2.98,9.6,2.98,USD,"Nov 17, 2014","Nov 17, 2014"
LYB INTERNATIONAL FINANCE III LLC,Basic Industry,Fixed Income,"799,566.10",0.03,"799,566.10","687,000.00",50249AAA1,US50249AAA16,BKTSH36,115.5,United States,-,USD,16.86,3.34,1.0,"Oct 15, 2049",4.2,17.06,-,3.33,16.88,3.33,USD,"Oct 10, 2019","Oct 10, 2019"
WALT DISNEY COMPANY (THE),Communications,Fixed Income,"799,472.21",0.03,"799,472.21","650,000.00",25468PCP9,US25468PCP99,B4PCG66,121.36,United States,-,USD,13.58,2.94,1.0,"Aug 16, 2041",4.38,13.63,-,2.94,13.63,2.94,USD,"Aug 22, 2011","Aug 22, 2011"
SOUTHERN POWER CO,Electric,Fixed Income,"799,537.41",0.03,"799,537.41","645,000.00",843646AH3,US843646AH38,B6ST6C4,122.44,United States,-,USD,12.94,3.56,1.0,"Sep 15, 2041",5.15,12.96,-,3.56,12.96,3.56,USD,"Sep 22, 2011","Sep 22, 2011"
UNITED PARCEL SERVICE INC,Transportation,Fixed Income,"798,948.54",0.03,"798,948.54","702,000.00",911312BS4,US911312BS40,BJQZJX7,112.68,United States,-,USD,18.08,2.74,1.0,"Sep 01, 2049",3.4,18.32,-,2.74,18.11,2.74,USD,"Aug 16, 2019","Aug 16, 2019"
MARSH & MCLENNAN COMPANIES INC.,Insurance,Fixed Income,"798,295.12",0.03,"798,295.12","591,000.00",571748AK8,US571748AK86,2928456,132.63,United States,-,USD,8.75,2.6,1.0,"Aug 01, 2033",5.88,8.74,-,2.6,8.74,2.6,USD,"Jul 30, 2003","Jul 30, 2003"
BAYLOR SCOTT & WHITE HOLDINGS,Consumer Non-Cyclical,Fixed Income,"796,223.24",0.03,"796,223.24","793,000.00",072863AJ2,US072863AJ20,-,100.04,United States,-,USD,19.23,2.84,1.0,"Nov 15, 2050",2.84,19.55,-,2.84,19.1,2.84,USD,"Jan 21, 2021","Jan 21, 2021"
VALERO ENERGY CORPORATION,Energy,Fixed Income,"795,325.18",0.03,"795,325.18","570,000.00",91913YAE0,US91913YAE05,2369408,137.95,United States,-,USD,7.67,3.15,1.0,"Apr 15, 2032",7.5,7.63,-,3.15,7.63,3.15,USD,"Apr 15, 2002","Apr 15, 2002"
KINDER MORGAN ENERGY PARTNERS LP,Energy,Fixed Income,"795,363.88",0.03,"795,363.88","588,000.00",494550BD7,US494550BD78,B4KRMH9,133.1,United States,-,USD,11.33,3.89,1.0,"Sep 01, 2039",6.5,11.33,-,3.89,11.33,3.89,USD,"Sep 16, 2009","Sep 16, 2009"
BERKSHIRE HATHAWAY ENERGY CO,Electric,Fixed Income,"795,445.86",0.03,"795,445.86","700,000.00",084659AP6,US084659AP66,BG0JBZ0,111.88,United States,-,USD,16.78,3.14,1.0,"Jul 15, 2048",3.8,16.98,-,3.13,16.78,3.13,USD,"Jan 05, 2018","May 02, 2018"
EL PASO ELECTRIC CO,Electric,Fixed Income,"794,374.43",0.03,"794,374.43","599,000.00",283677AW2,US283677AW22,B08V071,131.85,United States,-,USD,9.76,3.08,1.0,"May 15, 2035",6.0,9.75,-,3.08,9.75,3.08,USD,"May 17, 2005","May 17, 2005"
DH EUROPE FINANCE II SARL,Consumer Non-Cyclical,Fixed Income,"794,023.38",0.03,"794,023.38","738,000.00",23291KAK1,US23291KAK16,-,107.16,United States,-,USD,18.03,3.02,1.0,"Nov 15, 2049",3.4,18.24,-,3.01,18.03,3.01,USD,"Nov 07, 2019","Nov 07, 2019"
DOW CHEMICAL COMPANY (THE),Basic Industry,Fixed Income,"793,795.32",0.03,"793,795.32","621,000.00",260543CV3,US260543CV39,-,127.21,United States,-,USD,16.34,3.28,1.0,"May 15, 2049",4.8,16.55,-,3.27,16.38,3.27,USD,"Nov 15, 2019","Nov 18, 2019"
MANULIFE FINANCIAL CORP,Insurance,Fixed Income,"793,670.50",0.03,"793,670.50","560,000.00",56501RAD8,US56501RAD89,BYQ6504,139.98,Canada,-,USD,14.96,3.03,1.0,"Mar 04, 2046",5.38,15.06,-,3.03,15.06,3.03,USD,"Mar 04, 2016","Mar 04, 2016"
AIR PRODUCTS AND CHEMICALS INC,Basic Industry,Fixed Income,"793,716.96",0.03,"793,716.96","772,000.00",009158BA3,US009158BA32,BKX8JW5,102.46,United States,-,USD,19.32,2.68,1.0,"May 15, 2050",2.8,19.55,-,2.67,19.32,2.67,USD,"Apr 30, 2020","Apr 30, 2020"
DUKE ENERGY CAROLINAS,Electric,Fixed Income,"793,351.84",0.03,"793,351.84","583,000.00",26442CAA2,US26442CAA27,B1YBZM2,135.57,United States,-,USD,10.8,3.17,1.0,"Jun 01, 2037",6.1,10.8,-,3.17,10.8,3.17,USD,"Jun 05, 2007","Jun 05, 2007"
ENBRIDGE INC,Energy,Fixed Income,"793,431.60",0.03,"793,431.60","585,000.00",29250NAM7,US29250NAM74,BZ6CXF0,135.17,Canada,-,USD,14.93,3.4,1.0,"Dec 01, 2046",5.5,15.13,-,3.37,14.96,3.37,USD,"Nov 29, 2016","Nov 29, 2016"
ENERGY TRANSFER PARTNERS LP,Energy,Fixed Income,"792,503.93",0.03,"792,503.93","692,000.00",29273RBF5,US29273RBF55,BWB92Y7,113.01,United States,-,USD,13.79,4.26,1.0,"Mar 15, 2045",5.15,13.9,-,4.25,13.73,4.25,USD,"Mar 12, 2015","Mar 12, 2015"
MASSACHUSETTS INSTITUTE OF TECHNOL,Industrial Other,Fixed Income,"790,925.60",0.03,"790,925.60","524,000.00",575718AB7,US575718AB76,BM7SF38,148.6,United States,-,USD,28.39,3.08,1.0,"Jul 01, 2114",4.68,28.82,-,3.08,28.82,3.08,USD,"Apr 08, 2014","Apr 08, 2014"
UNIVERSITY OF SOUTHERN CALIFORNIA,Industrial Other,Fixed Income,"790,643.38",0.03,"790,643.38","740,000.00",914886AB2,US914886AB24,BZBZ9C3,106.09,United States,-,USD,12.5,2.56,1.0,"Oct 01, 2039",3.03,12.53,-,2.56,12.53,2.56,USD,"Aug 22, 2016","Aug 22, 2016"
MONDELEZ INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"789,883.09",0.03,"789,883.09","838,000.00",609207AW5,US609207AW50,-,93.41,United States,-,USD,19.34,2.97,1.0,"Sep 04, 2050",2.63,19.52,-,2.97,19.52,2.97,USD,"Sep 04, 2020","Sep 04, 2020"
Mayo Clinic,Consumer Non-Cyclical,Fixed Income,"788,604.10",0.03,"788,604.10","731,000.00",578454AF7,US578454AF74,-,107.47,United States,-,USD,22.45,2.87,1.0,"Nov 15, 2061",3.2,22.67,-,2.87,22.61,2.87,USD,"Apr 01, 2021","Apr 01, 2021"
BAYER US FINANCE II LLC 144A,Consumer Non-Cyclical,Fixed Income,"787,523.06",0.03,"787,523.06","674,000.00",07274NAN3,US07274NAN30,BYZMHJ6,116.77,Germany,-,USD,11.77,3.3,1.0,"Jun 25, 2038",4.63,11.91,-,3.27,11.66,3.27,USD,"Jun 25, 2018","Jun 25, 2018"
WHIRLPOOL CORPORATION,Consumer Non-Cyclical,Fixed Income,"785,317.37",0.03,"785,317.37","632,000.00",963320AX4,US963320AX45,-,123.67,United States,-,USD,16.83,3.31,1.0,"May 15, 2050",4.6,17.04,-,3.3,16.87,3.3,USD,"May 07, 2020","May 07, 2020"
INFRAESTRUCTURA ENERGETICA NOVA SA 144A,Natural Gas,Fixed Income,"785,098.90",0.03,"785,098.90","775,000.00",456829AC4,US456829AC41,-,99.13,Mexico,-,USD,15.19,4.81,1.0,"Jan 15, 2051",4.75,15.27,-,4.81,15.27,4.81,USD,"Sep 15, 2020","Sep 15, 2020"
BERKSHIRE HATHAWAY ENERGY CO,Electric,Fixed Income,"785,095.51",0.03,"785,095.51","638,000.00",084659AX9,US084659AX90,-,122.16,United States,-,USD,17.44,3.08,1.0,"Oct 15, 2050",4.25,17.66,-,3.07,17.48,3.07,USD,"Oct 15, 2020","Mar 03, 2021"
ANTHEM INC,Insurance,Fixed Income,"784,834.81",0.03,"784,834.81","763,000.00",036752AM5,US036752AM57,BKY6KG9,102.46,United States,-,USD,18.59,3.0,1.0,"May 15, 2050",3.13,18.79,-,2.99,18.58,2.99,USD,"May 05, 2020","May 05, 2020"
VULCAN MATERIALS COMPANY,Capital Goods,Fixed Income,"784,600.84",0.03,"784,600.84","616,000.00",929160AY5,US929160AY55,BH3Q4W3,125.8,United States,-,USD,15.89,3.23,1.0,"Mar 01, 2048",4.7,16.09,-,3.22,15.91,3.22,USD,"Sep 01, 2018","Dec 10, 2018"
THERMO FISHER SCIENTIFIC INC,Consumer Non-Cyclical,Fixed Income,"783,100.36",0.03,"783,100.36","627,000.00",883556BY7,US883556BY71,BF2K6Q0,123.35,United States,-,USD,16.44,2.81,1.0,"Aug 15, 2047",4.1,16.68,-,2.8,16.47,2.8,USD,"Aug 14, 2017","Aug 14, 2017"
PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"782,904.43",0.03,"782,904.43","640,000.00",718172BD0,US718172BD03,BGCC7M6,121.71,United States,-,USD,14.15,3.45,1.0,"Nov 15, 2043",4.88,14.19,-,3.45,14.19,3.45,USD,"Nov 12, 2013","Nov 12, 2013"
PRUDENTIAL FINANCIAL INC MTN,Insurance,Fixed Income,"781,550.64",0.03,"781,550.64","619,000.00",74432QCE3,US74432QCE35,BJKRNX7,124.74,United States,-,USD,17.08,3.04,1.0,"Feb 25, 2050",4.35,17.3,-,3.02,17.12,3.02,USD,"Feb 25, 2019","Feb 25, 2019"
FEDEX CORP,Transportation,Fixed Income,"781,577.90",0.03,"781,577.90","762,000.00",31428XCE4,US31428XCE40,-,102.15,United States,-,USD,14.17,3.1,1.0,"May 15, 2041",3.25,14.3,-,3.1,14.04,3.1,USD,"Apr 29, 2021","Apr 29, 2021"
RAYTHEON TECHNOLOGIES CORPORATION,Capital Goods,Fixed Income,"781,256.00",0.03,"781,256.00","800,000.00",75513ECL3,US75513ECL39,-,96.55,United States,-,USD,19.39,3.0,1.0,"Sep 01, 2051",2.82,19.58,-,3.0,19.58,3.0,USD,"Aug 10, 2021","Aug 10, 2021"
NISOURCE INC,Natural Gas,Fixed Income,"780,811.20",0.03,"780,811.20","660,000.00",65473QBF9,US65473QBF90,BD20RG3,117.75,United States,-,USD,15.86,3.33,1.0,"May 15, 2047",4.38,16.05,-,3.32,15.86,3.32,USD,"May 22, 2017","May 22, 2017"
MCDONALDS CORPORATION MTN,Consumer Cyclical,Fixed Income,"780,096.31",0.03,"780,096.31","639,000.00",58013MFR0,US58013MFR07,-,121.03,United States,-,USD,17.26,3.08,1.0,"Apr 01, 2050",4.2,17.48,-,3.07,17.3,3.07,USD,"Mar 27, 2020","Mar 27, 2020"
XSTRATA CANADA CORP,Basic Industry,Fixed Income,"777,505.40",0.03,"777,505.40","630,000.00",655422AV5,US655422AV53,B0B0RX0,123.14,Switzerland,-,USD,9.61,3.96,1.0,"Jun 15, 2035",6.2,9.56,-,3.96,9.56,3.96,USD,"Jun 08, 2005","Jun 08, 2005"
Novant Health,Consumer Non-Cyclical,Fixed Income,"777,176.08",0.03,"777,176.08","737,000.00",66988AAH7,US66988AAH77,-,104.92,United States,-,USD,19.18,2.92,1.0,"Nov 01, 2051",3.17,19.4,-,2.92,19.2,2.92,USD,"Apr 15, 2021","Apr 15, 2021"
ONEOK PARTNERS LP,Energy,Fixed Income,"776,185.86",0.03,"776,185.86","573,000.00",68268NAD5,US68268NAD57,B2830T3,134.01,United States,-,USD,10.45,3.94,1.0,"Oct 15, 2037",6.85,10.43,-,3.94,10.43,3.94,USD,"Sep 28, 2007","Sep 28, 2007"
DEUTSCHE TELEKOM AG 144A,Communications,Fixed Income,"776,099.02",0.03,"776,099.02","717,000.00",251566AA3,US251566AA37,BKLPSJ8,106.64,Germany,-,USD,17.44,3.26,1.0,"Jan 21, 2050",3.63,17.63,-,3.26,17.44,3.26,USD,"Jan 21, 2020","Jan 21, 2020"
AMERICAN INTERNATIONAL GROUP INC,Insurance,Fixed Income,"775,957.95",0.03,"775,957.95","595,000.00",026874DF1,US026874DF16,BXSSDV8,128.13,United States,-,USD,14.78,3.11,1.0,"Jul 10, 2045",4.8,14.98,-,3.08,14.79,3.08,USD,"Jul 10, 2015","Jul 10, 2015"
SHELL INTERNATIONAL FINANCE BV,Energy,Fixed Income,"775,739.94",0.03,"775,739.94","698,000.00",822582AT9,US822582AT91,B7C01S1,109.83,Netherlands,-,USD,14.58,2.98,1.0,"Aug 21, 2042",3.63,14.62,-,2.98,14.62,2.98,USD,"Aug 21, 2012","Aug 21, 2012"
CENOVUS ENERGY INC,Energy,Fixed Income,"774,593.17",0.03,"774,593.17","621,000.00",15135UAR0,US15135UAR05,BFNL6J5,124.49,Canada,-,USD,14.85,3.88,1.0,"Jun 15, 2047",5.4,15.0,-,3.86,14.84,3.86,USD,"Apr 07, 2017","Dec 11, 2017"
3M CO,Capital Goods,Fixed Income,"772,837.85",0.03,"772,837.85","655,000.00",88579YBP5,US88579YBP51,-,117.21,United States,-,USD,18.02,2.81,1.0,"Apr 15, 2050",3.7,18.26,-,2.8,18.06,2.8,USD,"Mar 27, 2020","Mar 27, 2020"
WESTLAKE CHEMICAL CORP,Basic Industry,Fixed Income,"772,816.04",0.03,"772,816.04","793,000.00",960413AZ5,US960413AZ54,-,96.31,United States,-,USD,18.61,3.32,1.0,"Aug 15, 2051",3.13,18.78,-,3.32,18.78,3.32,USD,"Aug 19, 2021","Aug 19, 2021"
ONCOR ELECTRIC DELIVERY CO.,Electric,Fixed Income,"771,738.83",0.03,"771,738.83","521,000.00",68233DAP2,US68233DAP24,2066293,144.78,United States,-,USD,8.12,2.57,1.0,"Jan 15, 2033",7.25,8.1,-,2.57,8.1,2.57,USD,"Jul 15, 2003","Oct 21, 2003"
UNITEDHEALTH GROUP INC,Insurance,Fixed Income,"771,246.97",0.03,"771,246.97","657,000.00",91324PCA8,US91324PCA84,B8DBF33,116.56,United States,-,USD,14.39,2.89,1.0,"Oct 15, 2042",3.95,14.59,-,2.87,14.35,2.87,USD,"Oct 22, 2012","Oct 22, 2012"
GEORGIA POWER COMPANY,Electric,Fixed Income,"771,017.09",0.03,"771,017.09","645,000.00",373334JS1,US373334JS15,B5YFYT2,117.95,United States,-,USD,12.72,3.44,1.0,"Sep 01, 2040",4.75,12.73,-,3.44,12.73,3.44,USD,"Aug 31, 2010","Aug 31, 2010"
ENTERPRISE PRODUCTS OPERATING LLC,Energy,Fixed Income,"771,222.14",0.03,"771,222.14","777,000.00",29379VCA9,US29379VCA98,BLD57S5,98.05,United States,-,USD,18.71,3.3,1.0,"Feb 15, 2052",3.2,18.88,-,3.3,18.88,3.3,USD,"Aug 07, 2020","Aug 07, 2020"
SYSCO CORP,Consumer Non-Cyclical,Fixed Income,"770,639.66",0.03,"770,639.66","605,000.00",871829AJ6,US871829AJ69,B0LCXQ1,125.89,United States,-,USD,10.09,3.05,1.0,"Sep 21, 2035",5.38,10.08,-,3.05,10.08,3.05,USD,"Sep 22, 2005","Sep 22, 2005"
BERKSHIRE HATHAWAY ENERGY CO,Electric,Fixed Income,"769,764.66",0.03,"769,764.66","626,000.00",084659AF8,US084659AF84,BVXY748,121.09,United States,-,USD,14.77,3.2,1.0,"Feb 01, 2045",4.5,14.96,-,3.18,14.75,3.18,USD,"Dec 04, 2014","Jan 26, 2015"
BACARDI LTD 144A,Consumer Non-Cyclical,Fixed Income,"768,404.94",0.03,"768,404.94","586,000.00",067316AH2,US067316AH25,BYWFDD4,130.45,Bermuda,-,USD,15.45,3.52,1.0,"May 15, 2048",5.3,15.65,-,3.5,15.48,3.5,USD,"Apr 30, 2018","Apr 30, 2018"
WALT DISNEY COMPANY (THE),Communications,Fixed Income,"767,821.22",0.03,"767,821.22","645,000.00",25468PCR5,US25468PCR55,B795V01,118.7,United States,-,USD,14.05,2.88,1.0,"Dec 01, 2041",4.13,14.1,-,2.88,14.1,2.88,USD,"Dec 02, 2011","Dec 02, 2011"
METLIFE INC,Insurance,Fixed Income,"766,884.91",0.03,"766,884.91","597,000.00",59156RBR8,US59156RBR84,BYQ29M2,127.84,United States,-,USD,15.54,2.98,1.0,"May 13, 2046",4.6,15.76,-,2.96,15.56,2.96,USD,"Nov 13, 2015","Nov 13, 2015"
COCA-COLA CO,Consumer Non-Cyclical,Fixed Income,"766,436.07",0.03,"766,436.07","599,000.00",191216CQ1,US191216CQ13,-,126.83,United States,-,USD,17.61,2.82,1.0,"Mar 25, 2050",4.2,17.74,-,2.82,17.74,2.82,USD,"Mar 25, 2020","Mar 25, 2020"
INTEL CORPORATION,Technology,Fixed Income,"766,350.64",0.03,"766,350.64","760,000.00",458140BV1,US458140BV11,BL59332,99.75,United States,-,USD,14.7,2.82,1.0,"Aug 12, 2041",2.8,14.85,-,2.82,14.85,2.82,USD,"Aug 12, 2021","Aug 12, 2021"
ELECTRICITE DE FRANCE SA 144A,Owned No Guarantee,Fixed Income,"766,166.94",0.03,"766,166.94","539,000.00",268317AL8,US268317AL89,BJ38WT6,139.5,France,-,USD,21.77,4.28,1.0,"Jan 22, 2114",6.0,22.1,-,4.28,22.1,4.28,USD,"Jan 22, 2014","Jan 22, 2014"
AMERICAN TOWER CORPORATION,Communications,Fixed Income,"765,464.79",0.03,"765,464.79","786,000.00",03027XBD1,US03027XBD12,BMBKJ72,97.25,United States,-,USD,18.46,3.25,1.0,"Jun 15, 2050",3.1,18.63,-,3.25,18.63,3.25,USD,"Jun 03, 2020","Jun 03, 2020"
INGERSOLL-RAND GLOBAL HOLDING CO L,Capital Goods,Fixed Income,"765,010.74",0.03,"765,010.74","543,000.00",45687AAG7,US45687AAG76,BN8T678,140.63,United States,-,USD,13.74,3.13,1.0,"Jun 15, 2043",5.75,13.81,-,3.13,13.81,3.13,USD,"Dec 15, 2013","Jun 10, 2014"
BURLINGTON NORTHERN SANTA FE LLC,Transportation,Fixed Income,"764,967.05",0.03,"764,967.05","622,000.00",12189LAJ0,US12189LAJ08,B787QZ8,121.69,United States,-,USD,13.73,2.97,1.0,"Mar 15, 2042",4.4,13.92,-,2.94,13.69,2.94,USD,"Mar 02, 2012","Mar 02, 2012"
BANK OF AMERICA CORP,Banking,Fixed Income,"763,258.95",0.03,"763,258.95","608,000.00",06051GFQ7,US06051GFQ73,BWX8CG4,124.61,United States,-,USD,14.91,3.24,1.0,"Apr 21, 2045",4.75,14.98,-,3.24,14.98,3.24,USD,"Apr 21, 2015","Apr 21, 2015"
PHILIP MORRIS INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"763,182.01",0.03,"763,182.01","669,000.00",718172AM1,US718172AM11,B6VMZ67,113.52,United States,-,USD,13.59,3.43,1.0,"Nov 15, 2041",4.38,13.61,-,3.43,13.61,3.43,USD,"Nov 15, 2011","Nov 15, 2011"
COSTCO WHOLESALE CORPORATION,Consumer Cyclical,Fixed Income,"761,485.46",0.03,"761,485.46","781,000.00",22160KAQ8,US22160KAQ85,-,97.16,United States,-,USD,9.29,2.06,1.0,"Apr 20, 2032",1.75,9.33,-,2.06,9.33,2.06,USD,"Apr 20, 2020","Apr 20, 2020"
ENTERPRISE PRODUCTS OPERATING LLC,Energy,Fixed Income,"760,260.15",0.03,"760,260.15","757,000.00",29379VCB7,US29379VCB71,BMHBC36,99.46,United States,-,USD,18.96,3.33,1.0,"Feb 15, 2053",3.3,19.14,-,3.33,19.14,3.33,USD,"Sep 15, 2021","Sep 15, 2021"
