,,,,,,,,,,,,,,,,,,,,,,,,,,iShares USD Bond Factor ETF
PILGRIMS PRIDE CORP 144A,Corporates,Fixed Income,"3,211.88",0.02,"3,211.88","3,000.00",72147KAE8,US72147KAE82,BF0KZ32,105.59,United States,-,USD,0.96,4.75,1.0,"Sep 30, 2027",5.88,4.81,-,2.21,0.73,2.21,USD,"Sep 29, 2017","Sep 29, 2017"
ARCHROCK PARTNERS LP 144A,Corporates,Fixed Income,"3,202.91",0.02,"3,202.91","3,000.00",03959KAA8,US03959KAA88,BJSDZR5,105.05,United States,-,USD,2.13,5.75,1.0,"Apr 01, 2027",6.88,4.32,-,5.17,2.86,5.17,USD,"Mar 21, 2019","Mar 21, 2019"
FMG RESOURCES (AUGUST 2006) PTY LT 144A,Corporates,Fixed Income,"3,201.83",0.02,"3,201.83","3,000.00",30251GAW7,US30251GAW78,BDFVF70,106.09,Australia,-,USD,2.03,2.47,1.0,"May 15, 2024",5.13,2.23,-,2.18,2.01,2.18,USD,"May 12, 2017","May 12, 2017"
RENT-A-CENTER INC/TX 144A,Corporates,Fixed Income,"3,202.18",0.02,"3,202.18","3,000.00",76009NAL4,US76009NAL47,BMFNQS7,104.33,United States,-,USD,3.96,5.63,1.0,"Feb 15, 2029",6.38,5.58,-,5.19,3.53,5.19,USD,"Feb 17, 2021","Feb 17, 2021"
CVR PARTNERS LP 144A,Corporates,Fixed Income,"3,180.10",0.02,"3,180.10","3,000.00",12663QAC9,US12663QAC96,-,105.73,United States,-,USD,3.88,5.07,1.0,"Jun 15, 2028",6.13,5.31,-,4.68,3.88,4.68,USD,"Jun 23, 2021","Jun 23, 2021"
ADVANTAGE SALES & MARKETING INC 144A,Corporates,Fixed Income,"3,175.04",0.02,"3,175.04","3,000.00",00775PAA5,US00775PAA57,-,105.0,United States,-,USD,3.61,5.61,1.0,"Nov 15, 2028",6.5,5.49,-,5.06,3.38,5.06,USD,"Oct 28, 2020","Oct 28, 2020"
FIVE POINT OPERATING COMPANY LP 144A,Corporates,Fixed Income,"3,164.47",0.02,"3,164.47","3,000.00",33834YAA6,US33834YAA64,BDVNGP5,104.48,United States,-,USD,0.08,6.54,1.0,"Nov 15, 2025",7.88,3.29,-,0.38,0.08,0.38,USD,"Nov 22, 2017","Nov 22, 2017"
SUNOCO LP,Corporates,Fixed Income,"3,163.73",0.02,"3,163.73","3,000.00",86765LAQ0,US86765LAQ05,BKLNVX7,104.19,United States,-,USD,0.29,5.08,1.0,"Apr 15, 2027",6.0,4.46,-,1.78,0.29,1.78,USD,"Mar 14, 2019","Jul 16, 2019"
ANTERO MIDSTREAM PARTNERS LP / ANT 144A,Corporates,Fixed Income,"3,157.13",0.02,"3,157.13","3,000.00",03690AAD8,US03690AAD81,BJKRP31,103.32,United States,-,USD,0.51,5.01,1.0,"Mar 01, 2027",5.75,4.36,-,2.92,0.16,2.92,USD,"Feb 25, 2019","Feb 25, 2019"
PITNEY BOWES INC 144A,Corporates,Fixed Income,"3,156.43",0.02,"3,156.43","3,000.00",724479AP5,US724479AP57,BNC23N8,103.19,United States,-,USD,3.79,6.15,1.0,"Mar 15, 2027",6.88,4.26,-,6.0,3.56,6.0,USD,"Mar 19, 2021","Mar 19, 2021"
DELUXE CORP 144A,Corporates,Fixed Income,"3,156.83",0.02,"3,156.83","3,000.00",248019AU5,US248019AU57,-,104.56,United States,-,USD,4.33,7.19,1.0,"Jun 01, 2029",8.0,5.54,-,6.97,4.35,6.97,USD,"Jun 01, 2021","Jun 01, 2021"
STERICYCLE INC 144A,Corporates,Fixed Income,"3,154.51",0.02,"3,154.51","3,000.00",858912AF5,US858912AF50,BKBVW94,102.67,United States,-,USD,0.45,4.25,1.0,"Jul 15, 2024",5.38,2.3,-,2.27,0.41,2.27,USD,"Jun 14, 2019","Jun 14, 2019"
PICASSO FINANCE SUB INC 144A,Corporates,Fixed Income,"3,148.93",0.02,"3,148.93","3,000.00",71953LAA9,US71953LAA98,BM8BF47,104.69,United States,-,USD,0.69,4.64,1.0,"Jun 15, 2025",6.13,3.09,-,2.82,0.45,2.82,USD,"Jun 15, 2020","Jun 15, 2020"
PEARL MERGER SUB INC 144A,Corporates,Fixed Income,"3,126.65",0.02,"3,126.65","3,000.00",70478JAA2,US70478JAA25,-,102.85,United States,-,USD,4.53,6.22,1.0,"Oct 01, 2028",6.75,5.31,-,6.05,3.98,6.05,USD,"Oct 18, 2021","Oct 18, 2021"
RAIN CII CARBON LLC / CII CARBON C 144A,Corporates,Fixed Income,"3,120.56",0.02,"3,120.56","3,000.00",75079RAC2,US75079RAC25,BYWW6S1,102.21,United States,-,USD,0.96,6.48,1.0,"Apr 01, 2025",7.25,2.82,-,5.39,1.17,5.39,USD,"Mar 31, 2017","Mar 31, 2017"
CURO GROUP HOLDINGS CORP 144A,Corporates,Fixed Income,"3,111.45",0.02,"3,111.45","3,000.00",23131LAC1,US23131LAC19,-,100.59,United States,-,USD,4.54,7.39,1.0,"Aug 01, 2028",7.5,4.97,-,7.35,3.71,7.35,USD,"Jul 30, 2021","Jul 30, 2021"
MACYS RETAIL HOLDINGS INC,Corporates,Fixed Income,"3,064.92",0.02,"3,064.92","3,000.00",55616XAH0,US55616XAH08,B92RSX0,101.08,United States,-,USD,0.89,1.9,1.0,"Feb 15, 2023",2.88,1.09,-,1.63,0.85,1.63,USD,"Nov 20, 2012","Nov 20, 2012"
GRAFTECH FINANCE INC 144A,Corporates,Fixed Income,"3,054.83",0.02,"3,054.83","3,000.00",384311AA4,US384311AA42,-,101.62,United States,-,USD,4.43,4.35,1.0,"Dec 15, 2028",4.63,5.9,-,4.18,3.58,4.18,USD,"Dec 22, 2020","Dec 22, 2020"
FIRSTENERGY CORPORATION,Corporates,Fixed Income,"3,000.64",0.02,"3,000.64","3,000.00",337932AM9,US337932AM94,-,98.89,United States,-,USD,17.6,3.46,1.0,"Mar 01, 2050",3.4,17.77,-,3.46,17.77,3.46,USD,"Feb 20, 2020","Feb 20, 2020"
NATIONSTAR MORTGAGE HOLDINGS INC 144A,Corporates,Fixed Income,"2,993.69",0.02,"2,993.69","3,000.00",63861CAD1,US63861CAD11,BNBRDV2,99.56,United States,-,USD,6.14,5.19,1.0,"Dec 15, 2030",5.13,7.09,-,5.19,7.09,5.19,USD,"Dec 04, 2020","Dec 04, 2020"
CONDUENT BUSINESS SERVICES LLC 144A,Corporates,Fixed Income,"2,994.05",0.02,"2,994.05","3,000.00",20679LAB7,US20679LAB71,-,98.53,United States,-,USD,5.4,6.24,1.0,"Nov 01, 2029",6.0,6.08,-,6.24,6.08,6.24,USD,"Oct 15, 2021","Oct 15, 2021"
WEWORK CO INC 144A,Corporates,Fixed Income,"2,904.53",0.01,"2,904.53","3,000.00",96208LAA9,US96208LAA98,BFN22B2,95.5,United States,-,USD,2.93,9.47,1.0,"May 01, 2025",7.88,2.82,-,9.47,2.82,9.47,USD,"Apr 30, 2018","Apr 30, 2018"
AMERICAN AIRLINES GROUP INC 144A,Corporates,Fixed Income,"2,831.13",0.01,"2,831.13","3,000.00",02376RAE2,US02376RAE27,-,93.12,United States,-,USD,2.96,6.17,1.0,"Mar 01, 2025",3.75,2.88,-,6.17,2.88,6.17,USD,"Feb 25, 2020","Feb 25, 2020"
NEWELL BRANDS INC,Corporates,Fixed Income,"2,597.16",0.01,"2,597.16","2,000.00",651229AY2,US651229AY21,BD3J3M7,128.31,United States,-,USD,13.8,4.14,1.0,"Apr 01, 2046",6.0,13.95,-,4.12,13.79,4.12,USD,"Mar 30, 2016","Mar 30, 2016"
RANGE RESOURCES CORPORATION,Corporates,Fixed Income,"2,308.24",0.01,"2,308.24","2,000.00",75281ABJ7,US75281ABJ79,-,111.61,United States,-,USD,2.27,6.19,1.0,"Jan 15, 2029",8.25,5.23,-,4.21,1.83,4.21,USD,"Jul 15, 2021","Dec 08, 2021"
CENTURYLINK INC,Corporates,Fixed Income,"2,198.17",0.01,"2,198.17","2,000.00",156700AT3,US156700AT34,B7LV3N4,107.66,United States,-,USD,10.46,6.94,1.0,"Mar 15, 2042",7.65,10.36,-,6.94,10.36,6.94,USD,"Mar 12, 2012","Mar 12, 2012"
ALLISON TRANSMISSION INC 144A,Corporates,Fixed Income,"2,191.19",0.01,"2,191.19","2,000.00",019736AF4,US019736AF46,BHRH8R5,109.07,United States,-,USD,3.18,4.43,1.0,"Jun 01, 2029",5.88,6.02,-,3.13,2.25,3.13,USD,"Mar 29, 2019","Mar 29, 2019"
TRIPADVISOR INC 144A,Corporates,Fixed Income,"2,182.64",0.01,"2,182.64","2,000.00",896945AA0,US896945AA07,-,105.9,United States,-,USD,0.53,5.15,1.0,"Jul 15, 2025",7.0,3.03,-,2.4,0.52,2.4,USD,"Jul 09, 2020","Jul 09, 2020"
AMC ENTERTAINMENT HOLDINGS INC 144A,Corporates,Fixed Income,"2,175.31",0.01,"2,175.31","2,000.00",00165CAN4,US00165CAN48,-,106.55,United States,-,USD,0.29,8.18,1.0,"Apr 15, 2025",10.5,2.71,-,5.52,0.28,5.52,USD,"Apr 24, 2020","Apr 24, 2020"
XHR LP 144A,Corporates,Fixed Income,"2,171.61",0.01,"2,171.61","2,000.00",98372MAA3,US98372MAA36,BKPVMF6,106.17,United States,-,USD,0.61,4.51,1.0,"Aug 15, 2025",6.38,3.16,-,1.49,0.6,1.49,USD,"Aug 18, 2020","Aug 18, 2020"
APX GROUP INC 144A,Corporates,Fixed Income,"2,164.08",0.01,"2,164.08","2,000.00",00213MAV6,US00213MAV63,-,105.65,United States,-,USD,2.15,5.47,1.0,"Feb 15, 2027",6.75,4.22,-,4.49,1.05,4.49,USD,"Feb 14, 2020","Feb 14, 2020"
DAVE & BUSTERS INC 144A,Corporates,Fixed Income,"2,162.32",0.01,"2,162.32","2,000.00",23833NAH7,US23833NAH70,-,106.85,United States,-,USD,1.06,5.61,1.0,"Nov 01, 2025",7.63,3.28,-,3.74,0.8,3.74,USD,"Oct 27, 2020","Oct 27, 2020"
UNITED RENTALS (NORTH AMERICA) INC,Corporates,Fixed Income,"2,146.58",0.01,"2,146.58","2,000.00",911365BG8,US911365BG81,BDGSYG2,105.08,United States,-,USD,1.74,3.92,1.0,"Jan 15, 2028",4.88,5.11,-,2.23,0.99,2.23,USD,"Aug 11, 2017","Aug 11, 2017"
BROOKFIELD RESIDENTIAL PROPERTIES 144A,Corporates,Fixed Income,"2,133.77",0.01,"2,133.77","2,000.00",11283YAB6,US11283YAB65,BKVJXG2,104.85,Canada,-,USD,1.45,5.25,1.0,"Sep 15, 2027",6.25,4.7,-,3.63,0.68,3.63,USD,"Sep 23, 2019","Sep 23, 2019"
VISTRA OPERATIONS COMPANY LLC 144A,Corporates,Fixed Income,"2,110.42",0.01,"2,110.42","2,000.00",92840VAB8,US92840VAB80,BHQTTK2,103.4,United States,-,USD,0.13,4.87,1.0,"Feb 15, 2027",5.63,4.34,-,0.81,0.12,0.81,USD,"Feb 06, 2019","Feb 06, 2019"
POST HOLDINGS INC 144A,Corporates,Fixed Income,"2,106.43",0.01,"2,106.43","2,000.00",737446AM6,US737446AM60,BYNHPV1,103.41,United States,-,USD,0.2,4.99,1.0,"Mar 01, 2027",5.75,4.37,-,2.44,0.16,2.44,USD,"Feb 14, 2017","Feb 14, 2017"
COTY INC 144A,Corporates,Fixed Income,"2,082.21",0.01,"2,082.21","2,000.00",222070AE4,US222070AE41,-,103.06,United States,-,USD,2.88,4.21,1.0,"Apr 15, 2026",5.0,3.8,-,4.0,2.99,4.0,USD,"Apr 21, 2021","Apr 21, 2021"
GOEASY LTD 144A,Corporates,Fixed Income,"2,064.60",0.01,"2,064.60","2,000.00",380355AD9,US380355AD93,BJLPZB2,102.78,Canada,-,USD,0.15,4.35,1.0,"Dec 01, 2024",5.38,2.67,-,2.67,0.04,2.67,USD,"Nov 27, 2019","Nov 27, 2019"
PENNYMAC FINANCIAL SERVICES INC 144A,Corporates,Fixed Income,"2,052.00",0.01,"2,052.00","2,000.00",70932MAC1,US70932MAC10,-,100.92,United States,-,USD,6.33,5.62,1.0,"Sep 15, 2031",5.75,7.26,-,5.6,6.07,5.6,USD,"Sep 16, 2021","Sep 16, 2021"
BONANZA CREEK ENERGY INC 144A,Corporates,Fixed Income,"2,043.55",0.01,"2,043.55","2,000.00",097793AE3,US097793AE35,BMTVQ76,101.09,United States,-,USD,3.73,4.74,1.0,"Oct 15, 2026",5.0,4.18,-,4.68,3.39,4.68,USD,"Oct 13, 2021","Oct 13, 2021"
GRUBHUB HOLDINGS INC 144A,Corporates,Fixed Income,"2,039.96",0.01,"2,039.96","2,000.00",40010PAA6,US40010PAA66,BJF8Q14,99.25,United States,-,USD,3.96,5.66,1.0,"Jul 01, 2027",5.5,4.56,-,5.66,4.56,5.66,USD,"Jun 10, 2019","Jun 10, 2019"
T-MOBILE USA INC 144A,Corporates,Fixed Income,"2,001.70",0.01,"2,001.70","2,000.00",87264ACN3,US87264ACN37,-,99.63,United States,-,USD,20.5,3.62,1.0,"Nov 15, 2060",3.6,20.71,-,3.62,20.71,3.62,USD,"May 15, 2021","Aug 13, 2021"
ADTALEM GLOBAL EDUCATION INC 144A,Corporates,Fixed Income,"1,989.37",0.01,"1,989.37","2,000.00",00737WAA7,US00737WAA71,-,97.64,United States,-,USD,4.74,5.96,1.0,"Mar 01, 2028",5.5,5.05,-,5.96,5.05,5.96,USD,"Mar 01, 2021","Mar 01, 2021"
APOLLO COMMERCIAL REAL ESTATE FINA 144A,Corporates,Fixed Income,"1,953.75",0.01,"1,953.75","2,000.00",03762UAD7,US03762UAD72,-,97.48,United States,-,USD,5.5,5.03,1.0,"Jun 15, 2029",4.63,6.2,-,5.03,6.2,5.03,USD,"Jun 29, 2021","Jun 29, 2021"
BED BATH & BEYOND INC,Corporates,Fixed Income,"1,703.30",0.01,"1,703.30","2,000.00",075896AC4,US075896AC47,BP81YD0,83.01,United States,-,USD,12.02,6.63,1.0,"Aug 01, 2044",5.17,11.95,-,6.63,11.95,6.63,USD,"Jul 17, 2014","Jul 17, 2014"
CCO HOLDINGS LLC 144A,Corporates,Fixed Income,"1,000.65",0.01,"1,000.65","1,000.00",1248EPCP6,US1248EPCP61,-,98.47,United States,-,USD,8.05,4.41,1.0,"Jan 15, 2034",4.25,9.17,-,4.41,9.17,4.41,USD,"Aug 16, 2021","Aug 16, 2021"
USD CASH,Cash and/or Derivatives,Cash,"-4,391,083.61",-22.0,"-4,391,083.61","-4,391,084.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
