,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
KENNEDY-WILSON INC,Financial Other,Fixed Income,"147,793.33",0.1,"147,793.33","140,000.00",489399AM7,US489399AM73,-,103.9,United States,-,USD,5.68,4.48,1.0,"Mar 01, 2031",5.0,7.22,-,4.36,5.91,4.36,USD,"Feb 11, 2021","Feb 11, 2021"
WOLVERINE WORLD WIDE INC 144A,Consumer Cyclical,Fixed Income,"147,349.33",0.1,"147,349.33","150,000.00",978097AG8,US978097AG86,-,96.84,United States,-,USD,5.67,4.49,1.0,"Aug 15, 2029",4.0,6.39,-,4.49,6.39,4.49,USD,"Aug 26, 2021","Aug 26, 2021"
INGEVITY CORP 144A,Basic Industry,Fixed Income,"147,223.25",0.1,"147,223.25","150,000.00",45688CAB3,US45688CAB37,-,97.5,United States,-,USD,4.72,4.3,1.0,"Nov 01, 2028",3.88,5.89,-,4.3,5.89,4.3,USD,"Oct 28, 2020","Oct 28, 2020"
LITHIA MOTORS INC 144A,Consumer Cyclical,Fixed Income,"146,879.14",0.1,"146,879.14","135,000.00",536797AF0,US536797AF03,-,106.78,United States,-,USD,5.0,3.49,1.0,"Jan 15, 2031",4.38,7.35,-,3.02,3.43,3.02,USD,"Oct 09, 2020","Oct 09, 2020"
CELLNEX FINANCE COMPANY SA 144A,Communications,Fixed Income,"146,790.23",0.1,"146,790.23","150,000.00",15118JAA3,US15118JAA34,-,96.0,Spain,-,USD,13.19,4.18,1.0,"Jul 07, 2041",3.88,13.2,-,4.18,13.2,4.18,USD,"Jul 07, 2021","Jul 07, 2021"
UNIVAR SOLUTIONS USA INC 144A,Basic Industry,Fixed Income,"146,739.72",0.1,"146,739.72","140,000.00",91337CAA4,US91337CAA45,-,104.39,United States,-,USD,2.03,4.28,1.0,"Dec 01, 2027",5.13,5.07,-,3.01,0.89,3.01,USD,"Nov 22, 2019","Nov 22, 2019"
CEDAR FAIR LP,Consumer Cyclical,Fixed Income,"146,643.38",0.1,"146,643.38","139,000.00",150190AE6,US150190AE64,BL9Y7L9,103.08,United States,-,USD,4.54,4.76,1.0,"Jul 15, 2029",5.25,6.05,-,4.61,4.67,4.61,USD,"Jan 15, 2020","Jul 06, 2020"
ISTAR INC,Reits,Fixed Income,"146,481.77",0.1,"146,481.77","140,000.00",45031UCG4,US45031UCG40,BKQNVL0,102.86,United States,-,USD,3.18,3.4,1.0,"Aug 01, 2025",4.25,3.25,-,3.34,3.04,3.34,USD,"Dec 16, 2019","Dec 16, 2019"
PENNYMAC FINANCIAL SERVICES INC 144A,Finance Companies,Fixed Income,"145,186.61",0.1,"145,186.61","140,000.00",70932MAA5,US70932MAA53,BN7JDY5,102.57,United States,-,USD,2.53,4.63,1.0,"Oct 15, 2025",5.38,3.37,-,4.38,2.55,4.38,USD,"Sep 29, 2020","Sep 29, 2020"
GCI LLC 144A,Communications,Fixed Income,"144,986.49",0.1,"144,986.49","140,000.00",36166TAB6,US36166TAB61,BMDLN59,102.56,United States,-,USD,4.02,4.31,1.0,"Oct 15, 2028",4.75,5.72,-,4.01,3.42,4.01,USD,"Oct 07, 2020","Oct 07, 2020"
YUM! BRANDS INC. 144A,Consumer Cyclical,Fixed Income,"144,958.27",0.1,"144,958.27","135,000.00",988498AM3,US988498AM33,-,105.44,United States,-,USD,0.25,5.88,1.0,"Apr 01, 2025",7.75,2.81,-,1.39,0.25,1.39,USD,"Apr 01, 2020","Apr 01, 2020"
WW INTERNATIONAL INC 144A,Consumer Cyclical,Fixed Income,"144,891.00",0.1,"144,891.00","150,000.00",98262PAA9,US98262PAA93,-,95.64,United States,-,USD,5.58,5.23,1.0,"Apr 15, 2029",4.5,6.05,-,5.23,6.05,5.23,USD,"Apr 13, 2021","Apr 13, 2021"
LEVI STRAUSS & CO 144A,Consumer Cyclical,Fixed Income,"144,431.93",0.1,"144,431.93","140,000.00",52736RBJ0,US52736RBJ05,-,102.0,United States,-,USD,6.05,3.25,1.0,"Mar 01, 2031",3.5,7.72,-,3.19,6.24,3.19,USD,"Feb 19, 2021","Feb 19, 2021"
AVIS BUDGET CAR RENTAL LLC 144A,Transportation,Fixed Income,"144,314.18",0.1,"144,314.18","135,000.00",053773BC0,US053773BC09,BJXXZG9,104.25,United States,-,USD,1.21,4.87,1.0,"Jul 15, 2027",5.75,4.61,-,3.07,0.52,3.07,USD,"Jul 03, 2019","Jul 03, 2019"
COGENT COMMUNICATIONS GROUP INC 144A,Communications,Fixed Income,"144,200.47",0.1,"144,200.47","140,000.00",19240CAC7,US19240CAC73,-,102.42,United States,-,USD,3.91,2.9,1.0,"May 01, 2026",3.5,3.98,-,2.87,3.76,2.87,USD,"May 07, 2021","May 07, 2021"
DYCOM INDUSTRIES INC 144A,Industrial Other,Fixed Income,"144,046.00",0.1,"144,046.00","140,000.00",267475AD3,US267475AD30,-,101.94,United States,-,USD,4.59,4.19,1.0,"Apr 15, 2029",4.5,6.12,-,4.0,3.84,4.0,USD,"Apr 01, 2021","Apr 01, 2021"
RITE AID CORPORATION 144A,Consumer Cyclical,Fixed Income,"143,635.95",0.1,"143,635.95","135,000.00",767754CK8,US767754CK89,-,102.65,United States,-,USD,2.44,6.63,1.0,"Jul 01, 2025",7.5,2.94,-,6.33,2.18,6.33,USD,"Feb 05, 2020","Feb 05, 2020"
ORTHO-CLINICAL DIAGNOSTICS INC 144A,Consumer Non-Cyclical,Fixed Income,"143,608.18",0.1,"143,608.18","130,000.00",68752DAA6,US68752DAA63,-,107.45,United States,-,USD,1.44,5.78,1.0,"Feb 01, 2028",7.25,4.79,-,3.49,1.02,3.49,USD,"Jan 27, 2020","Jan 27, 2020"
SEALED AIR CORPORATION 144A,Capital Goods,Fixed Income,"143,333.45",0.1,"143,333.45","110,000.00",81211KAK6,US81211KAK60,2863803,127.13,United States,-,USD,8.27,3.93,1.0,"Jul 15, 2033",6.88,8.21,-,3.93,8.21,3.93,USD,"Jul 01, 2003","Jul 01, 2003"
ENERGIZER HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"143,143.16",0.1,"143,143.16","140,000.00",29272WAC3,US29272WAC38,BLB2XY6,102.03,United States,-,USD,3.9,4.38,1.0,"Jun 15, 2028",4.75,5.51,-,4.12,3.19,4.12,USD,"Jul 01, 2020","Jul 01, 2020"
TWILIO INC,Technology,Fixed Income,"142,967.96",0.1,"142,967.96","140,000.00",90138FAD4,US90138FAD42,-,100.98,United States,-,USD,6.2,3.75,1.0,"Mar 15, 2031",3.88,7.61,-,3.72,6.18,3.72,USD,"Mar 09, 2021","Mar 09, 2021"
TOPBUILD CORP 144A,Industrial Other,Fixed Income,"142,582.12",0.1,"142,582.12","140,000.00",89055FAB9,US89055FAB94,-,100.78,United States,-,USD,4.8,3.5,1.0,"Mar 15, 2029",3.63,6.23,-,3.5,6.23,3.5,USD,"Mar 15, 2021","Mar 15, 2021"
CLEVELAND-CLIFFS INC 144A,Basic Industry,Fixed Income,"141,821.29",0.1,"141,821.29","123,000.00",185899AJ0,US185899AJ02,-,113.27,United States,-,USD,0.77,5.91,1.0,"Oct 17, 2025",9.88,3.14,-,2.21,0.76,2.21,USD,"Apr 17, 2020","Apr 17, 2020"
VIDEOTRON LTD 144A,Communications,Fixed Income,"141,654.96",0.1,"141,654.96","140,000.00",92660FAN4,US92660FAN42,-,101.02,Canada,-,USD,4.93,3.47,1.0,"Jun 15, 2029",3.63,6.48,-,3.38,4.08,3.38,USD,"Jun 17, 2021","Jun 17, 2021"
TRI POINTE GROUP INC/TRI POINTE HO,Consumer Cyclical,Fixed Income,"141,632.54",0.1,"141,632.54","130,000.00",962178AN9,US962178AN91,BYNBVY8,108.69,United States,-,USD,2.32,2.22,1.0,"Jun 15, 2024",5.88,2.3,-,2.22,2.3,2.22,USD,"Jun 15, 2015","Jun 17, 2015"
SERVICE CORPORATION INTERNATIONAL,Consumer Cyclical,Fixed Income,"141,526.65",0.1,"141,526.65","135,000.00",817565CD4,US817565CD49,BD0RZM8,104.63,United States,-,USD,1.74,3.75,1.0,"Dec 15, 2027",4.63,5.18,-,2.11,0.93,2.11,USD,"Dec 12, 2017","Dec 12, 2017"
XHR LP 144A,Reits,Fixed Income,"141,154.43",0.1,"141,154.43","130,000.00",98372MAA3,US98372MAA36,BKPVMF6,106.17,United States,-,USD,0.61,4.51,1.0,"Aug 15, 2025",6.38,3.16,-,1.49,0.6,1.49,USD,"Aug 18, 2020","Aug 18, 2020"
TRINET GROUP INC 144A,Consumer Cyclical,Fixed Income,"141,092.93",0.1,"141,092.93","140,000.00",896288AA5,US896288AA51,-,99.61,United States,-,USD,4.96,3.56,1.0,"Mar 01, 2029",3.5,6.21,-,3.56,6.21,3.56,USD,"Feb 26, 2021","Feb 26, 2021"
GLATFELTER CORP 144A,Basic Industry,Fixed Income,"141,023.48",0.1,"141,023.48","135,000.00",377320AA4,US377320AA45,-,103.59,United States,-,USD,4.72,4.21,1.0,"Nov 15, 2029",4.75,6.49,-,3.93,4.27,3.93,USD,"Oct 25, 2021","Oct 25, 2021"
TTM TECHNOLOGIES INC 144A,Technology,Fixed Income,"140,924.47",0.1,"140,924.47","140,000.00",87305RAK5,US87305RAK59,-,99.33,United States,-,USD,5.01,4.11,1.0,"Mar 01, 2029",4.0,6.09,-,4.11,6.09,4.11,USD,"Mar 10, 2021","Mar 10, 2021"
NCR CORPORATION 144A,Technology,Fixed Income,"140,715.23",0.1,"140,715.23","135,000.00",62886EAZ1,US62886EAZ16,-,102.92,United States,-,USD,5.52,4.84,1.0,"Oct 01, 2030",5.25,6.9,-,4.84,6.9,4.84,USD,"Aug 20, 2020","Aug 20, 2020"
HEALTHEQUITY INC 144A,Technology,Fixed Income,"140,332.50",0.1,"140,332.50","140,000.00",42226AAA5,US42226AAA51,BM8SKG5,99.2,United States,-,USD,5.4,4.62,1.0,"Oct 01, 2029",4.5,6.41,-,4.62,6.41,4.62,USD,"Oct 08, 2021","Oct 08, 2021"
ASBURY AUTOMOTIVE GROUP INC.,Consumer Cyclical,Fixed Income,"140,098.05",0.1,"140,098.05","135,000.00",043436AV6,US043436AV64,-,102.19,United States,-,USD,5.2,4.43,1.0,"Mar 01, 2030",4.75,6.63,-,4.34,5.23,4.34,USD,"Sep 01, 2020","Nov 10, 2020"
BUILDERS FIRSTSOURCE INC 144A,Capital Goods,Fixed Income,"140,010.42",0.1,"140,010.42","132,000.00",12008RAM9,US12008RAM97,BJVRGC6,105.51,United States,-,USD,0.42,5.56,1.0,"Jun 01, 2027",6.75,4.5,-,1.54,0.41,1.54,USD,"May 30, 2019","May 30, 2019"
SPECTRUM BRANDS INC 144A,Consumer Non-Cyclical,Fixed Income,"139,950.96",0.1,"139,950.96","140,000.00",84762LAX3,US84762LAX38,-,98.82,United States,-,USD,6.47,4.03,1.0,"Mar 15, 2031",3.88,7.58,-,4.03,7.58,4.03,USD,"Mar 03, 2021","Mar 03, 2021"
FMG RESOURCES (AUGUST 2006) PTY LT 144A,Basic Industry,Fixed Income,"139,879.35",0.1,"139,879.35","130,000.00",30251GBA4,US30251GBA40,BK5GTT4,106.29,Australia,-,USD,4.9,3.28,1.0,"Sep 15, 2027",4.5,4.98,-,3.23,4.78,3.23,USD,"Sep 16, 2019","Sep 16, 2019"
SPIRIT IP CAYMAN LTD 144A,Transportation,Fixed Income,"139,538.19",0.1,"139,538.19","125,000.00",84859BAA9,US84859BAA98,-,110.08,United States,-,USD,2.26,5.05,1.0,"Sep 20, 2025",8.0,3.2,-,4.09,2.42,4.09,USD,"Sep 17, 2020","Sep 17, 2020"
MASONITE INTERNATIONAL CORPORATION 144A,Capital Goods,Fixed Income,"139,485.56",0.1,"139,485.56","130,000.00",575385AD1,US575385AD19,BK9C727,105.06,United States,-,USD,1.91,4.42,1.0,"Feb 01, 2028",5.38,5.07,-,3.05,1.03,3.05,USD,"Jul 25, 2019","Jul 25, 2019"
CIT GROUP INC,Banking,Fixed Income,"139,385.42",0.1,"139,385.42","125,000.00",125581GW2,US125581GW24,BYZQMH1,109.88,United States,-,USD,2.72,2.03,1.0,"Mar 07, 2025",5.25,2.91,-,1.78,2.7,1.78,USD,"Mar 09, 2018","Mar 09, 2018"
WMG ACQUISITION CORP 144A,Communications,Fixed Income,"139,277.89",0.1,"139,277.89","135,000.00",92933BAQ7,US92933BAQ77,BMYXY06,101.38,United States,-,USD,5.61,3.68,1.0,"Jul 15, 2030",3.88,7.1,-,3.64,5.64,3.64,USD,"Jun 29, 2020","Jun 29, 2020"
CENTURY COMMUNITIES INC 144A,Consumer Cyclical,Fixed Income,"138,014.25",0.1,"138,014.25","135,000.00",156504AM4,US156504AM47,-,100.86,United States,-,USD,6.35,3.74,1.0,"Aug 15, 2029",3.88,6.47,-,3.74,6.1,3.74,USD,"Aug 23, 2021","Aug 23, 2021"
OUTFRONT MEDIA CAPITAL LLC 144A,Communications,Fixed Income,"137,884.58",0.1,"137,884.58","135,000.00",69007TAE4,US69007TAE47,-,100.18,United States,-,USD,4.72,4.22,1.0,"Jan 15, 2029",4.25,5.92,-,4.2,3.61,4.2,USD,"Jan 19, 2021","Jan 19, 2021"
ROYAL CARIBBEAN CRUISES LTD,Consumer Cyclical,Fixed Income,"137,826.04",0.1,"137,826.04","145,000.00",780153AW2,US780153AW20,BD1DDN2,93.96,United States,-,USD,5.45,4.84,1.0,"Mar 15, 2028",3.7,5.39,-,4.84,5.39,4.84,USD,"Nov 28, 2017","Nov 28, 2017"
RADIAN GROUP INC,Insurance,Fixed Income,"137,740.20",0.1,"137,740.20","130,000.00",750236AU5,US750236AU59,BYWJVQ5,104.83,United States,-,USD,2.41,2.67,1.0,"Oct 01, 2024",4.5,2.56,-,2.5,2.34,2.5,USD,"Sep 26, 2017","Sep 26, 2017"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"137,147.81",0.1,"137,147.81","125,000.00",81180WAR2,US81180WAR25,BY7RLD1,109.31,United States,-,USD,4.66,3.0,1.0,"Jun 01, 2027",4.88,4.77,-,2.92,4.57,2.92,USD,"May 14, 2015","May 14, 2015"
NMI HOLDINGS INC 144A,Insurance,Fixed Income,"137,031.10",0.1,"137,031.10","120,000.00",629209AA5,US629209AA52,-,113.58,United States,-,USD,2.94,3.15,1.0,"Jun 01, 2025",7.38,3.04,-,2.96,2.91,2.96,USD,"Jun 19, 2020","Jun 19, 2020"
HILLENBRAND INC,Industrial Other,Fixed Income,"136,985.62",0.09,"136,985.62","130,000.00",431571AD0,US431571AD01,-,105.12,United States,-,USD,0.45,4.14,1.0,"Jun 15, 2025",5.75,3.12,-,0.78,0.45,0.78,USD,"Jun 16, 2020","Jun 16, 2020"
CORNERSTONE BUILDING BRANDS INC 144A,Capital Goods,Fixed Income,"136,885.38",0.09,"136,885.38","125,000.00",21925DAA7,US21925DAA72,-,106.68,United States,-,USD,2.8,4.99,1.0,"Jan 15, 2029",6.13,5.58,-,3.8,1.57,3.8,USD,"Sep 24, 2020","Sep 24, 2020"
DELUXE CORP 144A,Communications,Fixed Income,"136,795.97",0.09,"136,795.97","130,000.00",248019AU5,US248019AU57,-,104.56,United States,-,USD,4.33,7.19,1.0,"Jun 01, 2029",8.0,5.54,-,6.97,4.35,6.97,USD,"Jun 01, 2021","Jun 01, 2021"
GARTNER INC 144A,Technology,Fixed Income,"136,726.80",0.09,"136,726.80","135,000.00",366651AG2,US366651AG25,-,101.12,United States,-,USD,4.91,3.45,1.0,"Jun 15, 2029",3.63,6.48,-,3.35,4.08,3.35,USD,"Jun 18, 2021","Jun 18, 2021"
1011778 BC UNLIMITED LIABILITY CO 144A,Consumer Cyclical,Fixed Income,"136,615.56",0.09,"136,615.56","130,000.00",68245XAK5,US68245XAK54,-,103.88,Canada,-,USD,0.31,4.47,1.0,"Apr 15, 2025",5.75,2.95,-,2.18,0.29,2.18,USD,"Apr 07, 2020","Apr 07, 2020"
AMC ENTERTAINMENT HOLDINGS INC 144A,Consumer Cyclical,Fixed Income,"135,957.08",0.09,"135,957.08","125,000.00",00165CAN4,US00165CAN48,-,106.55,United States,-,USD,0.29,8.18,1.0,"Apr 15, 2025",10.5,2.71,-,5.52,0.28,5.52,USD,"Apr 24, 2020","Apr 24, 2020"
MICROSTRATEGY INCORPORATED 144A,Technology,Fixed Income,"135,945.29",0.09,"135,945.29","135,000.00",594972AF8,US594972AF82,-,100.43,United States,-,USD,4.69,6.04,1.0,"Jun 15, 2028",6.13,5.26,-,6.01,3.84,6.01,USD,"Jun 14, 2021","Jun 14, 2021"
STEVENS HOLDING COMPANY INC 144A,Capital Goods,Fixed Income,"135,782.81",0.09,"135,782.81","125,000.00",86024TAA5,US86024TAA51,BGNKT56,107.1,United States,-,USD,1.9,4.45,1.0,"Oct 01, 2026",6.13,4.07,-,2.8,1.64,2.8,USD,"Oct 01, 2018","Oct 01, 2018"
ACCO BRANDS CORP 144A,Consumer Non-Cyclical,Fixed Income,"135,775.42",0.09,"135,775.42","135,000.00",00081TAK4,US00081TAK43,-,99.32,United States,-,USD,5.03,4.36,1.0,"Mar 15, 2029",4.25,6.07,-,4.36,6.07,4.36,USD,"Mar 15, 2021","Mar 15, 2021"
SCRIPPS ESCROW II INC 144A,Communications,Fixed Income,"135,686.81",0.09,"135,686.81","130,000.00",81105DAB1,US81105DAB10,-,101.9,United States,-,USD,5.77,5.11,1.0,"Jan 15, 2031",5.38,6.95,-,5.05,5.68,5.05,USD,"Dec 30, 2020","Dec 30, 2020"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"135,611.52",0.09,"135,611.52","130,000.00",81180WBC4,US81180WBC47,-,103.99,United States,-,USD,6.31,3.48,1.0,"Jun 01, 2029",4.09,6.37,-,3.46,6.18,3.46,USD,"Jun 18, 2020","Jun 18, 2020"
SURGERY CENTER HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"135,536.39",0.09,"135,536.39","125,000.00",86881WAD4,US86881WAD48,BJWZMN2,106.32,United States,-,USD,0.29,8.49,1.0,"Apr 15, 2027",10.0,4.02,-,5.01,0.28,5.01,USD,"Apr 11, 2019","Apr 11, 2019"
PICASSO FINANCE SUB INC 144A,Industrial Other,Fixed Income,"135,403.85",0.09,"135,403.85","129,000.00",71953LAA9,US71953LAA98,BM8BF47,104.69,United States,-,USD,0.69,4.64,1.0,"Jun 15, 2025",6.13,3.09,-,2.82,0.45,2.82,USD,"Jun 15, 2020","Jun 15, 2020"
NORDSTROM INC,Consumer Cyclical,Fixed Income,"135,225.23",0.09,"135,225.23","135,000.00",655664AY6,US655664AY65,-,98.4,United States,-,USD,7.7,4.46,1.0,"Aug 01, 2031",4.25,7.64,-,4.46,7.64,4.46,USD,"Apr 08, 2021","Jul 23, 2021"
EW SCRIPPS CO 144A,Communications,Fixed Income,"134,730.03",0.09,"134,730.03","125,000.00",81104PAA7,US81104PAA75,BJ9NGK4,105.08,United States,-,USD,2.07,4.82,1.0,"Jul 15, 2027",5.88,4.6,-,4.3,2.29,4.3,USD,"Jul 26, 2019","Jul 26, 2019"
AMKOR TECHNOLOGY INC 144A,Technology,Fixed Income,"134,690.87",0.09,"134,690.87","125,000.00",031652BK5,US031652BK50,BJHGB00,105.8,United States,-,USD,0.22,5.43,1.0,"Sep 15, 2027",6.63,4.66,-,2.39,0.2,2.39,USD,"Mar 15, 2019","Mar 15, 2019"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"134,515.57",0.09,"134,515.57","125,000.00",81180WAT8,US81180WAT80,BYWV2V3,106.0,United States,-,USD,1.9,2.03,1.0,"Mar 01, 2024",4.88,2.04,-,1.81,1.89,1.81,USD,"Feb 03, 2017","Feb 03, 2017"
NUANCE COMMUNICATIONS INC,Technology,Fixed Income,"134,317.30",0.09,"134,317.30","130,000.00",67020YAQ3,US67020YAQ35,BFNPKW8,103.07,United States,-,USD,0.09,4.92,1.0,"Dec 15, 2026",5.63,4.29,-,2.27,0.08,2.27,USD,"Dec 22, 2016","Dec 22, 2016"
HOWMET AEROSPACE INC,Capital Goods,Fixed Income,"134,261.73",0.09,"134,261.73","115,000.00",013817AJ0,US013817AJ05,BFLRBF6,114.29,United States,-,USD,4.39,2.86,1.0,"Feb 01, 2027",5.9,4.36,-,2.86,4.36,2.86,USD,"Jan 25, 2007","Jan 25, 2007"
TRIUMPH GROUP INC,Capital Goods,Fixed Income,"133,157.41",0.09,"133,157.41","130,000.00",896818AP6,US896818AP61,BD49296,99.5,United States,-,USD,2.64,7.91,1.0,"Aug 15, 2025",7.75,3.02,-,7.91,3.02,7.91,USD,"Aug 17, 2017","Jan 18, 2018"
ENVIVA PARTNERS LP 144A,Electric,Fixed Income,"133,132.78",0.09,"133,132.78","125,000.00",29413XAD9,US29413XAD93,-,103.51,United States,-,USD,0.11,5.52,1.0,"Jan 15, 2026",6.5,3.43,-,2.84,0.07,2.84,USD,"Dec 09, 2019","Dec 09, 2019"
CONSENSUS CLOUD SOLUTIONS INC 144A,Technology,Fixed Income,"133,035.83",0.09,"133,035.83","125,000.00",20848VAB1,US20848VAB18,-,104.91,United States,-,USD,4.98,5.62,1.0,"Oct 15, 2028",6.5,5.4,-,5.5,4.74,5.5,USD,"Oct 07, 2021","Oct 07, 2021"
GATES GLOBAL LLC 144A,Capital Goods,Fixed Income,"132,698.68",0.09,"132,698.68","125,000.00",36740LAA0,US36740LAA08,-,103.28,United States,-,USD,0.63,5.34,1.0,"Jan 15, 2026",6.25,3.45,-,4.04,0.07,4.04,USD,"Nov 22, 2019","Nov 22, 2019"
CATALENT PHARMA SOLUTIONS INC 144A,Consumer Non-Cyclical,Fixed Income,"132,688.19",0.09,"132,688.19","125,000.00",14879EAE8,US14879EAE86,BHWTW30,103.85,United States,-,USD,1.2,4.21,1.0,"Jul 15, 2027",5.0,4.71,-,2.41,0.52,2.41,USD,"Jun 27, 2019","Jun 27, 2019"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"132,419.53",0.09,"132,419.53","125,000.00",81180WBD2,US81180WBD20,BM99517,104.05,Cayman Islands,-,USD,7.38,3.6,1.0,"Jan 15, 2031",4.13,7.4,-,3.58,7.23,3.58,USD,"Jun 10, 2020","Jun 10, 2020"
HLF FINANCING SARL LLC 144A,Consumer Non-Cyclical,Fixed Income,"132,424.54",0.09,"132,424.54","135,000.00",40390DAC9,US40390DAC92,-,97.69,United States,-,USD,5.41,5.26,1.0,"Jun 01, 2029",4.88,6.11,-,5.26,6.11,5.26,USD,"May 20, 2021","May 20, 2021"
GREIF INC 144A,Capital Goods,Fixed Income,"132,395.83",0.09,"132,395.83","125,000.00",397624AH0,US397624AH07,BJJQGY7,103.75,United States,-,USD,0.47,5.65,1.0,"Mar 01, 2027",6.5,4.28,-,3.3,0.16,3.3,USD,"Feb 11, 2019","Feb 11, 2019"
GRAPHIC PACKAGING INTERNATIONAL LL 144A,Basic Industry,Fixed Income,"132,018.32",0.09,"132,018.32","130,000.00",38869AAB3,US38869AAB35,-,100.52,United States,-,USD,5.53,3.41,1.0,"Mar 15, 2028",3.5,5.48,-,3.41,5.48,3.41,USD,"Mar 06, 2020","Mar 06, 2020"
CLEAN HARBORS INC 144A,Capital Goods,Fixed Income,"131,919.90",0.09,"131,919.90","125,000.00",184496AN7,US184496AN71,BJR6WN0,103.29,United States,-,USD,1.73,4.2,1.0,"Jul 15, 2027",4.88,4.73,-,3.19,0.52,3.19,USD,"Jul 02, 2019","Jul 02, 2019"
OUTFRONT MEDIA CAPITAL LLC 144A,Communications,Fixed Income,"131,772.95",0.09,"131,772.95","130,000.00",69007TAC8,US69007TAC80,BJLPYM6,100.0,United States,-,USD,5.59,4.62,1.0,"Mar 15, 2030",4.63,6.68,-,4.62,5.27,4.62,USD,"Nov 18, 2019","Nov 18, 2019"
AMN HEALTHCARE INC 144A,Consumer Non-Cyclical,Fixed Income,"131,060.31",0.09,"131,060.31","125,000.00",00175PAB9,US00175PAB94,BJVRC95,103.69,United States,-,USD,1.87,3.9,1.0,"Oct 01, 2027",4.63,4.98,-,2.69,0.73,2.69,USD,"Oct 01, 2019","Oct 01, 2019"
CSC HOLDINGS LLC,Communications,Fixed Income,"131,025.62",0.09,"131,025.62","125,000.00",126307AH0,US126307AH04,BYZ5N19,104.38,United States,-,USD,2.29,3.35,1.0,"Jun 01, 2024",5.25,2.26,-,3.35,2.26,3.35,USD,"May 23, 2014","May 23, 2014"
NCR CORPORATION 144A,Technology,Fixed Income,"130,972.40",0.09,"130,972.40","120,000.00",62886EAV0,US62886EAV02,BK20CJ0,107.1,United States,-,USD,3.88,5.0,1.0,"Sep 01, 2029",6.13,6.02,-,4.37,2.41,4.37,USD,"Aug 21, 2019","Aug 21, 2019"
CLEVELAND-CLIFFS INC,Basic Industry,Fixed Income,"130,554.48",0.09,"130,554.48","125,000.00",185899AH4,US185899AH46,BMF04M8,103.95,United States,-,USD,1.06,5.03,1.0,"Jun 01, 2027",5.88,4.6,-,3.29,0.41,3.29,USD,"Dec 01, 2019","Apr 24, 2020"
TRINSEO MATERIALS OPERATING SCA 144A,Basic Industry,Fixed Income,"130,467.34",0.09,"130,467.34","125,000.00",89668QAF5,US89668QAF54,-,102.45,United States,-,USD,4.43,4.72,1.0,"Apr 01, 2029",5.13,5.91,-,4.49,3.72,4.49,USD,"Mar 24, 2021","Mar 24, 2021"
ASGN INC 144A,Consumer Cyclical,Fixed Income,"130,413.72",0.09,"130,413.72","125,000.00",00191UAA0,US00191UAA07,BJXCM32,103.74,United States,-,USD,3.11,3.95,1.0,"May 15, 2028",4.63,5.47,-,3.44,3.1,3.44,USD,"Nov 22, 2019","Nov 22, 2019"
RAYONIER AM PRODUCTS INC 144A,Basic Industry,Fixed Income,"130,328.77",0.09,"130,328.77","119,000.00",75508EAB4,US75508EAB48,-,106.0,United States,-,USD,2.82,5.93,1.0,"Jan 15, 2026",7.63,3.35,-,5.45,2.62,5.45,USD,"Dec 23, 2020","Dec 23, 2020"
DARLING INGREDIENTS INC 144A,Consumer Non-Cyclical,Fixed Income,"130,282.92",0.09,"130,282.92","125,000.00",237266AH4,US237266AH40,BJT7CM0,103.12,United States,-,USD,1.29,4.58,1.0,"Apr 15, 2027",5.25,4.55,-,3.4,0.28,3.4,USD,"Apr 03, 2019","Apr 03, 2019"
CATALENT PHARMA SOLUTIONS INC 144A,Consumer Non-Cyclical,Fixed Income,"129,766.72",0.09,"129,766.72","130,000.00",14879EAH1,US14879EAH18,-,98.64,United States,-,USD,5.13,3.34,1.0,"Feb 15, 2029",3.13,6.25,-,3.34,6.25,3.34,USD,"Feb 22, 2021","Feb 22, 2021"
COVANTA HOLDING CORP,Capital Goods,Fixed Income,"129,692.08",0.09,"129,692.08","125,000.00",22282EAJ1,US22282EAJ10,-,102.09,United States,-,USD,5.56,4.7,1.0,"Sep 01, 2030",5.0,6.88,-,4.63,5.54,4.63,USD,"Aug 25, 2020","Aug 25, 2020"
CHARLES RIVER LABORATORIES INTERNA 144A,Consumer Non-Cyclical,Fixed Income,"129,513.47",0.09,"129,513.47","125,000.00",159864AJ6,US159864AJ65,-,102.43,United States,-,USD,5.99,3.69,1.0,"Mar 15, 2031",4.0,7.58,-,3.61,6.16,3.61,USD,"Mar 23, 2021","Mar 23, 2021"
SEALED AIR CORPORATION 144A,Capital Goods,Fixed Income,"129,030.10",0.09,"129,030.10","120,000.00",81211KAW0,US81211KAW09,BSLVD86,107.1,United States,-,USD,2.54,2.58,1.0,"Dec 01, 2024",5.13,2.71,-,2.36,2.49,2.36,USD,"Nov 24, 2014","Nov 24, 2014"
