,,,,,,,,,,,,,,,,,,,,,,,,,,iShares International High Yield Bond ETF
VIDEOTRON LTD RegS,Communications,Fixed Income,"41,016.75",0.06,"41,016.75","50,000.00",92660FAJ3,CA92660FAJ36,BYQGTD5,80.7,Canada,-,USD,1.15,5.22,1.26,"Jan 15, 2026",5.75,3.51,-,4.30,0.68,4.30,CAD,"Sep 15, 2015","Sep 15, 2015"
MATTAMY GROUP CORP RegS,Consumer Cyclical,Fixed Income,"40,432.87",0.06,"40,432.87","50,000.00",57701RAL6,CA57701RAL65,-,79.65,Canada,-,USD,2.88,4.51,1.26,"Mar 01, 2028",4.63,5.24,-,4.09,1.11,4.09,CAD,"Mar 05, 2020","Mar 05, 2020"
VIDEOTRON LTD,Communications,Fixed Income,"36,783.47",0.05,"36,783.47","50,000.00",92660FAM6,CA92660FAM64,-,72.42,Canada,-,USD,7.7,4.27,1.26,"Jan 15, 2031",3.13,7.6,-,4.27,7.6,4.27,CAD,"Jan 22, 2021","Jan 22, 2021"
RITCHIE BROS HOLDINGS LTD 144A,Capital Goods,Fixed Income,"20,156.09",0.03,"20,156.09","25,000.00",76774RAB0,CA76774RAB02,-,80.52,Canada,-,USD,5.44,4.65,1.26,"Dec 15, 2029",4.95,6.53,-,4.50,4.36,4.50,CAD,"Dec 21, 2021","Dec 21, 2021"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"19,999.43",0.03,"19,999.43","19,999.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
SENTRY HOLDINGS LIMITED Prvt,Finance Companies,Equity,0.00,0.0,0.00,25.00,-,XS0123456789,99RDG53,0.0,Jersey,NO MARKET (E.G. UNLISTED),USD,0.0,-,0.74,-,0.0,0.0,-,-,0.0,-,GBP,-,-
GBP/USD,Cash and/or Derivatives,FX,-2.87,0.0,-2.87,"205,000.00",-,-,-,1.0,United States,-,USD,0.0,-,0.74,"Jan 04, 2022",0.0,0.0,-,-,0.0,-,USD,-,"Dec 31, 2021"
EUR/USD,Cash and/or Derivatives,FX,-2.70,0.0,-2.70,"-245,000.00",-,-,-,1.0,United States,-,USD,0.0,-,0.88,"Jan 04, 2022",0.0,0.0,-,-,0.0,-,USD,-,"Dec 31, 2021"
SNS BANK NV SUBORDINATED,Banking,Fixed Income,0.01,0.0,0.01,"50,000.00",-,NL99BRSHNQS3,-,0.0,Netherlands,-,USD,27.99,50.00,0.88,"Dec 31, 2049",0.0,15.75,-,50.00,15.75,50.00,EUR,"Oct 26, 2010","Oct 26, 2010"
SOUTHERN PACIFIC RESOURCE CORP 144A,Utility Other,Fixed Income,0.00,0.0,0.00,"50,000.00",84359YAD8,CA84359YAD81,-,0.0,Canada,-,USD,0.0,0.00,1.26,"Jan 25, 2018",0.0,0.0,-,0.00,0.0,0.00,CAD,"Jan 25, 2013","Jan 25, 2013"
USD CASH,Cash and/or Derivatives,Cash,"-17,796.20",-0.03,"-17,796.20","-17,796.00",-,-,-,100.0,United States,-,USD,0.0,0.10,1.0,-,0.0,0.0,-,0.10,0.0,0.10,USD,-,"Jan 01, 1989"
